,ID,shortedPath,subgenres,Genre,TimesPlayed_Global,liked,artist,song,song_name,cover_link
78,79,/tracks/ELECTRONIC/The_Blaze/The Blaze - SHE (Audio).mp3,4,ELECTRONIC,0,0,The Blaze,The Blaze - SHE (Audio).mp3,SHE,https://lastfm.freetls.fastly.net/i/u/300x300/e29bc6a36903e89c01fb2b2e34802108.png
79,80,/tracks/ELECTRONIC/David_Guetta/Crank It Up (feat. Akon).mp3,2,ELECTRONIC,0,0,David Guetta,Crank It Up (feat. Akon).mp3,Crank It Up,https://lastfm.freetls.fastly.net/i/u/300x300/6a85419c42f54dc984f1ea5df2f425de.png
80,81,/tracks/ELECTRONIC/David_Guetta/David Guetta - Without You ft. Usher (Lyric video).mp3,0,ELECTRONIC,0,0,David Guetta,David Guetta - Without You ft. Usher (Lyric video).mp3,Without You,https://lastfm.freetls.fastly.net/i/u/300x300/6a85419c42f54dc984f1ea5df2f425de.png
81,82,/tracks/ELECTRONIC/David_Guetta/David Guetta & Showtek - Bad ft.Vassy (Lyrics Video).mp3,2,ELECTRONIC,0,0,David Guetta,David Guetta & Showtek - Bad ft.Vassy (Lyrics Video).mp3,Bad,https://lastfm.freetls.fastly.net/i/u/300x300/8706b544921b4901c9f3d6e246e9e398.png
82,83,/tracks/ELECTRONIC/David_Guetta/David Guetta Feat. Akon - Sexy Chick (Official Video).mp3,3,ELECTRONIC,0,0,David Guetta,David Guetta Feat. Akon - Sexy Chick (Official Video).mp3,Sexy Chick,https://lastfm.freetls.fastly.net/i/u/300x300/5ed8f1fc131745839212fb263c4d9fa4.png
83,84,/tracks/ELECTRONIC/David_Guetta/David Guetta - Where Them Girls At (Audio).mp3,2,ELECTRONIC,0,0,David Guetta,David Guetta - Where Them Girls At (Audio).mp3,Where Them Girls At,https://lastfm.freetls.fastly.net/i/u/300x300/6a85419c42f54dc984f1ea5df2f425de.png
84,85,/tracks/ELECTRONIC/The_Weeknd/The Weeknd - In The Night (Official Audio).mp3,2,ELECTRONIC,0,0,The Weeknd,The Weeknd - In The Night (Official Audio).mp3,In The Night,https://lastfm.freetls.fastly.net/i/u/770x0/95c3d6e86f26b7487e16d2bfad5725a3.jpg
85,86,/tracks/ELECTRONIC/The_Weeknd/Gesaffelstein & The Weeknd - Lost in the Fire (Official Video).mp3,1,ELECTRONIC,0,0,The Weeknd,Gesaffelstein & The Weeknd - Lost in the Fire (Official Video).mp3,Lost in the Fire,https://lastfm.freetls.fastly.net/i/u/770x0/9eac6f00020cc47a78b39ae0e06a9318.jpg
86,87,/tracks/ELECTRONIC/The_Weeknd/The Weeknd - After Hours (Audio).mp3,2,ELECTRONIC,0,0,The Weeknd,The Weeknd - After Hours (Audio).mp3,After Hours,https://lastfm.freetls.fastly.net/i/u/770x0/7d957bd27dd562bee7aaa89eafa0bbe6.jpg
87,88,"/tracks/ELECTRONIC/Alesso/Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, WATT (Official Video).mp3",1,ELECTRONIC,0,0,Alesso,"Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, WATT (Official Video).mp3",Let Me Go,https://lastfm.freetls.fastly.net/i/u/770x0/63fa220ec198f70d97883043f34fbb2c.jpg
88,89,/tracks/ELECTRONIC/Alesso/Calvin Harris - Under Control (Audio).mp3,3,ELECTRONIC,0,0,Alesso,Calvin Harris - Under Control (Audio).mp3,Under Control,https://lastfm.freetls.fastly.net/i/u/770x0/a15e1f583d984fa5abbb4a078b2b889a.jpg
89,90,"/tracks/ELECTRONIC/Alesso/Alesso, Tove Lo - Heroes (Lyrics) we could be.mp3",2,ELECTRONIC,0,0,Alesso,"Alesso, Tove Lo - Heroes (Lyrics) we could be.mp3",Heroes (we could be),https://lastfm.freetls.fastly.net/i/u/300x300/b98580d4593f4e6cce3b3c304cd1ca6e.png
90,91,/tracks/ELECTRONIC/Avicii/Avicii - Levels.mp3,4,ELECTRONIC,0,0,Avicii,Avicii - Levels.mp3,Levels,https://lastfm.freetls.fastly.net/i/u/300x300/e4f32d52d29f4c3a878ec022ed94e13c.png
91,92,/tracks/ELECTRONIC/Avicii/I could be the one [Nicktim] (lyrics) - Avicii ft. Nicky Romero.mp3,2,ELECTRONIC,0,0,Avicii,I could be the one [Nicktim] (lyrics) - Avicii ft. Nicky Romero.mp3,I could be the one,https://lastfm.freetls.fastly.net/i/u/770x0/371122e68bb944e2bc146a93cf8f14a8.jpg
92,93,/tracks/ELECTRONIC/Avicii/Avicii - Lonely Together âAudioâ ft. Rita Ora.mp3,0,ELECTRONIC,0,0,Avicii,Avicii - Lonely Together âAudioâ ft. Rita Ora.mp3,Lonely Together,https://lastfm.freetls.fastly.net/i/u/770x0/0d8d8dd6acae33aba5e2136616ede3ab.jpg
93,94,"/tracks/ELECTRONIC/Meduza/MEDUZA, Becky Hill, Goodboys - Lose Control (Lyric Video).mp3",0,ELECTRONIC,0,0,Meduza,"MEDUZA, Becky Hill, Goodboys - Lose Control (Lyric Video).mp3",Lose Control,https://lastfm.freetls.fastly.net/i/u/300x300/94efe7d762ddcb2fd3e1e0553a1258b1.png
94,95,"/tracks/ELECTRONIC/Meduza/MEDUZA, James Carter - Bad Memories (Lyric Video) ft. Elley DuheÌ, FAST BOY.mp3",2,ELECTRONIC,0,0,Meduza,"MEDUZA, James Carter - Bad Memories (Lyric Video) ft. Elley DuheÌ, FAST BOY.mp3",Bad Memories,https://lastfm.freetls.fastly.net/i/u/300x300/9de9606e6b83a465c51f25c162783e39.png
95,96,"/tracks/ELECTRONIC/Meduza/MEDUZA, Goodboys - Piece Of Your Heart (Visualizer).mp3",3,ELECTRONIC,0,0,Meduza,"MEDUZA, Goodboys - Piece Of Your Heart (Visualizer).mp3",Piece Of Your Heart,https://lastfm.freetls.fastly.net/i/u/770x0/4dbfd790156abaf520af474a27366efe.jpg
96,97,/tracks/ELECTRONIC/CamelPhat/CAMELPHAT & RHODES - Home.mp3,3,ELECTRONIC,0,0,CamelPhat,CAMELPHAT & RHODES - Home.mp3,Home,https://lastfm.freetls.fastly.net/i/u/300x300/c99bdccff1dadc8697c08b1ca0c2bce6.png
97,98,/tracks/ELECTRONIC/CamelPhat/Anyma & CamelPhat - The Sign.mp3,0,ELECTRONIC,0,0,CamelPhat,Anyma & CamelPhat - The Sign.mp3,The Sign,https://i.scdn.co/image/ab67616d0000b2737c07b1e9df93f84394007555
98,99,/tracks/ELECTRONIC/CamelPhat/Camelphat & Elderbrook âColaâ.mp3,2,ELECTRONIC,0,0,CamelPhat,Camelphat & Elderbrook âColaâ.mp3,Cola,https://lastfm.freetls.fastly.net/i/u/300x300/8e6f6ce93ebf91f81bf7564d8dd22e5b.png
99,100,/tracks/ELECTRONIC/Kygo/Kygo - Firestone ft. Conrad Sewell (Official Audio).mp3,4,ELECTRONIC,0,0,Kygo,Kygo - Firestone ft. Conrad Sewell (Official Audio).mp3,Firestone,https://lastfm.freetls.fastly.net/i/u/300x300/08a6555ce5aa46bdc6889db73629b5b2.png
100,101,/tracks/ELECTRONIC/Kygo/Kygo - Raging ft. Kodaline (Official Lyric Video).mp3,0,ELECTRONIC,0,0,Kygo,Kygo - Raging ft. Kodaline (Official Lyric Video).mp3,Raging,https://lastfm.freetls.fastly.net/i/u/300x300/bfd3bcbfe12646669fa0ae439b469975.png
101,102,/tracks/ELECTRONIC/Kygo/Kygo - Stole The Show (Lyrics) feat. Parson James.mp3,2,ELECTRONIC,0,0,Kygo,Kygo - Stole The Show (Lyrics) feat. Parson James.mp3,Stole The Show,https://lastfm.freetls.fastly.net/i/u/300x300/386267afa0bd4b5f9fc42137973dc61d.png
102,103,/tracks/ELECTRONIC/Swedish_House_Mafia/Swedish House Mafia - One (Your Name) (Official Video).mp3,0,ELECTRONIC,0,0,Swedish House Mafia,Swedish House Mafia - One (Your Name) (Official Video).mp3,One,https://lastfm.freetls.fastly.net/i/u/300x300/4a41197f2c8749c18f7faff8311c2108.png
103,104,"/tracks/ELECTRONIC/Swedish_House_Mafia/Swedish House Mafia, Sting - Redlight.mp3",4,ELECTRONIC,0,0,Swedish House Mafia,"Swedish House Mafia, Sting - Redlight.mp3",Redlight,https://lastfm.freetls.fastly.net/i/u/300x300/b2100a2156220b5043b981c398f35f52.png
104,105,/tracks/ELECTRONIC/Swedish_House_Mafia/Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video).mp3,2,ELECTRONIC,0,0,Swedish House Mafia,Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video).mp3,Don't You Worry Child,https://lastfm.freetls.fastly.net/i/u/300x300/eeead76fc5cd35025d97a0e74725a307.png
105,106,/tracks/ELECTRONIC/Julian_Casablancas/Daft Punk - Infinity Repeating (2013 Demo) (feat. Julian Casablancas+The Voidz).mp3,4,ELECTRONIC,0,0,Daft Punk,Daft Punk - Infinity Repeating (2013 Demo) (feat. Julian Casablancas+The Voidz).mp3,Infinity Repeating,https://lastfm.freetls.fastly.net/i/u/770x0/64f268184586e1d588edee511378728f.jpg
106,107,/tracks/ELECTRONIC/Julian_Casablancas/Boombox (ft. Julian Casablancas).mp3,2,ELECTRONIC,0,0,Julian Casablancas,Boombox (ft. Julian Casablancas).mp3,Boombox,https://lastfm.freetls.fastly.net/i/u/770x0/b0ba17adc72a4e8483c1b31fd3fb46b8.jpg
107,108,/tracks/ELECTRONIC/Julian_Casablancas/Daft Punk - Instant Crush (Video) ft. Julian Casablancas.mp3,0,ELECTRONIC,0,0,The Lonely Island,Daft Punk - Instant Crush (Video) ft. Julian Casablancas.mp3,Instant Crush,https://lastfm.freetls.fastly.net/i/u/300x300/11dd7e48a1f042c688bf54985f01d088.png
108,109,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - Outside [Audio] ft. Ellie Goulding.mp3,1,ELECTRONIC,0,0,Calvin Harris,Calvin Harris - Outside [Audio] ft. Ellie Goulding.mp3,Outside,https://lastfm.freetls.fastly.net/i/u/300x300/6d9ccbf7bd97937241301e216d550a58.png
109,110,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris & Disciples - How Deep Is Your Love (Audio).mp3,2,ELECTRONIC,0,0,Calvin Harris,Calvin Harris & Disciples - How Deep Is Your Love (Audio).mp3,How Deep Is Your Love,https://i.scdn.co/image/ab67616d0000b273f4956c3ceefc6fa1cffc6da6
